REGION,DIVISION,STATE,NAME,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018
3,6,1,Alabama,5310,13386,16730,14896,12021,10679,11585,10375,12751
4,9,2,Alaska,3657,8132,8361,6646,-738,1240,3957,-1718,-2348
4,8,4,Arizona,15486,65723,83132,78370,98841,99756,111856,103424,122770
3,7,5,Arkansas,5950,18429,11702,7440,8177,10681,12003,12587,10828
4,9,6,California,66380,320920,318959,320042,344315,328003,255985,190222,157696
4,8,8,Colorado,18965,73490,71950,76761,80736,100889,88814,74981,79662
1,1,9,Connecticut,4978,8898,6372,520,-132,-7274,-8835,-4794,-1215
3,5,10,Delaware,1661,7721,7872,8450,8958,8817,7803,7862,10093
3,5,11,District of Columbia,3319,14517,15123,15706,12082,12741,11321,9116,6764
3,5,12,Florida,41205,247567,232878,236936,297164,363919,405733,346830,322513
3,5,13,Georgia,23101,89768,99918,71830,95675,112110,123652,108292,106420
4,9,15,Hawaii,3656,15289,15653,13548,6409,7622,5621,-3902,-3712
4,8,16,Idaho,3116,13055,11613,16089,19949,20044,31407,35974,35304
2,3,17,Illinois,9190,26529,16828,14150,-9307,-24620,-37447,-40699,-45116
2,3,18,Indiana,6375,25609,21595,30727,25166,14763,25048,26738,31796
2,4,19,Iowa,3895,15287,10043,16981,16426,11956,10325,11852,12508
2,4,20,Kansas,5087,10822,16326,8149,7386,8606,1761,-574,816
3,6,21,Kentucky,8867,21288,16893,18436,9666,11516,12230,15645,14528
3,7,22,Louisiana,11047,30652,25630,23763,19627,20647,13364,-7397,-10840
1,1,23,Maine,-737,518,-459,505,2564,-2276,2886,3693,3341
3,5,24,Maryland,14844,50349,48081,36632,34461,28552,17975,20199,17827
1,1,25,Massachusetts,18641,46718,50009,50786,49708,32239,30131,37224,38903
2,3,26,Michigan,-6582,3986,15409,16419,17240,1984,19317,24557,19468
2,4,27,Minnesota,6918,34825,30882,37143,37829,30981,40906,44746,43024
3,6,28,Mississippi,2418,7934,5297,5030,1826,-1930,-395,1365,-3133
2,4,29,Missouri,7024,13665,14440,16577,15635,15452,15458,21409,17840
4,8,30,Montana,1313,6499,6533,9810,8327,8612,10360,12227,9215
2,4,31,Nebraska,3231,11002,12785,12091,14108,11985,14417,11651,11693
4,8,32,Nevada,1785,10335,31767,32406,42040,49654,51106,52633,61987
1,1,33,New Hampshire,313,3038,4147,2446,6815,3071,6079,7394,6691
1,2,34,New Jersey,7662,28159,17700,12879,8418,4089,3647,14027,19977
4,8,35,New Mexico,5408,15807,7154,5243,-2450,-131,2578,606,2033
1,2,36,New York,21956,98434,76035,53494,28287,5081,-19822,-50870,-48510
3,5,37,North Carolina,38557,82461,92369,94476,90345,99135,123600,114121,112820
2,4,38,North Dakota,2134,10426,15980,20883,15383,16640,331,823,4901
2,3,39,Ohio,2570,4136,4906,28207,26397,14877,17153,29126,25313
3,7,40,Oklahoma,8049,28189,30779,34605,25162,31464,16938,5871,10439
4,9,41,Oregon,6457,34196,27390,23790,41198,52812,74486,55188,44121
1,2,42,Pennsylvania,8285,33425,22244,9794,12480,-3342,-2221,6909,16613
1,1,44,Rhode Island,981,-402,1065,521,895,156,890,-577,829
3,5,45,South Carolina,10275,35766,45690,47041,59640,68460,65982,62984,62908
2,4,46,South Dakota,1967,7319,10012,8774,6818,4845,8957,10396,8949
3,6,47,Tennessee,9015,42109,53871,42151,47394,49982,54203,63783,61216
3,7,48,Texas,96565,403548,443393,399844,487678,509672,450678,385225,379128
4,8,49,Utah,11443,38882,39251,44460,39472,45098,60116,60505,57987
1,1,50,Vermont,136,1099,-916,149,-994,-21,-1553,881,1774
3,5,51,Virginia,22625,76789,84760,67824,59023,50831,48039,54261,52478
4,9,53,Washington,18362,78753,71221,70030,89533,111104,131137,130752,110159
3,5,54,West Virginia,1213,1860,690,-2891,-4406,-7471,-11067,-13881,-11216
2,3,55,Wisconsin,3197,14276,15100,17097,15022,9432,11552,19093,21517
4,8,56,Wyoming,710,2741,9046,5853,425,3120,-1378,-5356,-1197